provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-20,15.5,5.4,0.0,23.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-21,15.8,6.7,0.0,14.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-22,15.6,7.5,0.2,19.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-23,13.7,8.5,0.0,20.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-24,11.3,4.5,0.0,22.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-25,10.6,1.1,0.0,13.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-26,11.6,2.0,0.0,12.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-27,11.3,6.7,0.7,16.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-28,12.5,4.1,0.0,13.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-29,15.8,7.7,0.0,27.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-30,16.9,10.3,0.0,11.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-31,17.1,8.4,0.0,14.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-01,20.0,10.6,0.1,14.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-02,15.8,7.0,0.0,19.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-03,11.6,3.7,0.0,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-04,13.1,4.2,0.0,18.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-05,17.8,10.3,0.0,14.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-06,19.6,9.0,0.0,10.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-07,21.9,12.5,1.3,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-08,25.4,17.5,0.0,21.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-09,24.8,14.5,0.0,25.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-10,19.1,10.1,0.0,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-11,17.8,9.8,0.2,15.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-12,21.9,14.3,0.0,20.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-13,27.2,19.6,0.0,27.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-14,20.8,13.8,7.6,16.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-15,18.7,7.8,0.0,10.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-16,16.7,8.6,0.0,11.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-17,17.4,7.3,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-18,18.3,12.8,2.4,15.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-19,16.8,9.3,0.8,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-20,15.7,4.4,0.0,21.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-21,19.7,12.8,1.8,19.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-22,18.6,14.2,0.3,21.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-23,13.9,7.8,1.3,25.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-24,11.4,3.7,0.0,19.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-25,11.1,3.3,1.2,10.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-26,13.2,5.2,0.7,24.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-27,15.8,7.1,0.0,21.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-28,11.9,5.8,0.0,27.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-29,9.0,2.5,0.0,22.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-06-30,13.7,0.5,0.0,21.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-01,16.1,4.5,0.0,19.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-02,17.7,5.9,0.0,16.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-03,11.1,3.3,0.0,17.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-04,12.0,-0.1,0.0,15.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-05,9.8,-0.5,0.0,19.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-06,9.0,-3.5,0.0,10.9
