provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-04,14.3,6.4,0.0,21.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-05,16.3,3.3,0.0,10.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-06,17.1,3.6,0.0,20.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-07,14.6,7.3,0.0,24.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-08,13.1,6.5,0.3,19.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-09,13.9,5.2,0.3,13.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-10,15.4,4.6,0.0,17.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-11,18.0,5.3,0.0,21.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-12,20.3,7.8,0.0,21.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-13,23.7,9.2,0.0,15.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-14,24.9,12.4,0.0,18.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-15,18.4,7.8,5.8,27.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-16,16.0,7.9,0.0,20.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-17,14.1,6.1,1.2,26.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-18,11.9,3.7,0.0,25.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-19,17.0,2.7,0.0,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-20,17.6,5.5,0.0,17.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-21,17.9,3.8,0.0,10.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-22,17.1,6.5,0.0,16.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-23,20.7,6.2,0.0,12.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-24,25.4,8.2,0.0,13.4
